"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 06:15:48 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","215","","examples.users.LoginTests","","examples.users.LoginTests","testLoginWithInvalidEmailFormat","TC-011: Login with invalid email format","Verify that login fails with invalid email format"
"passed","Wed Apr 29 06:15:48 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","793","","examples.users.CreateUserTests","","examples.users.CreateUserTests","testIdUniqueness","TC-017: Verify ID uniqueness","Verify that each created user gets a unique ID"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","411","","examples.users.CreateUserTests","","examples.users.CreateUserTests","testCreateUserWithoutJob","TC-014: Create user without job field","Verify that user creation fails without job"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","134","","examples.products.CreateProductTests","","examples.products.CreateProductTests","testCreateProductEmptyBodySuccess","TC-026: Successfully create product with empty body","Verify that product is created with default values when body is empty"
"passed","Wed Apr 29 06:15:48 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","226","","examples.users.LoginTests","","examples.users.LoginTests","testLoginWithWrongPassword","TC-007: Login with incorrect password","Verify that login fails with incorrect password"
"passed","Wed Apr 29 06:15:48 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","234","","examples.users.CreateUserTests","","examples.users.CreateUserTests","testCreateUserWithoutName","TC-013: Create user without name field","Verify that user creation fails without name"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","135","","examples.products.GetProductsListTests","","examples.products.GetProductsListTests","testGetProductsListSuccess","TC-018: Successfully get products list","Verify that API returns list of products"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","158","","examples.products.CreateProductTests","","examples.products.CreateProductTests","testCreateProductWithCustomData","TC-028: Create product without body - validate response format","Verify that POST request without body returns valid JSON response"
"passed","Wed Apr 29 06:15:44 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","2937","","examples.products.GetProductByIdTests","","examples.products.GetProductByIdTests","testGetProductByNonExistentId","TC-023: Get product with non-existent ID","Verify that 404 is returned for non-existent product ID"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","373","","examples.users.GetUsersListTests","","examples.users.GetUsersListTests","testGetUsersListPagination","TC-003: Get second page of users","Verify pagination works correctly for page 2"
